[СЕССИЯ] Шаг: 10 | Эпоха: 1 | Loss: 0.675781 | Время t: 0.4646 | Предсказания (Mean: 0.053308, Std: 0.580078, Min/Max: -2.9219/2.7969) | Целевой поток (Mean: 0.000269, Std: 0.494751, Min/Max: -4.0312/4.0625)
[СЕССИЯ] Шаг: 20 | Эпоха: 1 | Loss: 0.652930 | Время t: 0.4846 | Предсказания (Mean: 0.041565, Std: 0.579297, Min/Max: -2.6719/2.6406) | Целевой поток (Mean: 0.001161, Std: 0.515332, Min/Max: -3.5000/3.6250)
[СЕССИЯ] Шаг: 30 | Эпоха: 1 | Loss: 0.572070 | Время t: 0.4055 | Предсказания (Mean: 0.046057, Std: 0.569922, Min/Max: -2.7656/2.5781) | Целевой поток (Mean: 0.000011, Std: 0.431494, Min/Max: -3.2344/3.2969)
[СЕССИЯ] Шаг: 40 | Эпоха: 1 | Loss: 0.768164 | Время t: 0.5883 | Предсказания (Mean: 0.034155, Std: 0.576953, Min/Max: -2.6406/2.9375) | Целевой поток (Mean: 0.001147, Std: 0.625391, Min/Max: -3.9219/4.1250)
[СЕССИЯ] Шаг: 50 | Эпоха: 2 | Loss: 0.662891 | Время t: 0.5110 | Предсказания (Mean: 0.037195, Std: 0.554492, Min/Max: -2.8281/2.6562) | Целевой поток (Mean: 0.000508, Std: 0.542578, Min/Max: -3.9531/3.7500)
[СЕССИЯ] Шаг: 60 | Эпоха: 2 | Loss: 0.717383 | Время t: 0.5672 | Предсказания (Mean: 0.024768, Std: 0.554688, Min/Max: -2.6719/2.6406) | Целевой поток (Mean: 0.000320, Std: 0.602930, Min/Max: -3.9531/4.5312)
[СЕССИЯ] Шаг: 70 | Эпоха: 2 | Loss: 0.739746 | Время t: 0.5896 | Предсказания (Mean: 0.014281, Std: 0.541211, Min/Max: -2.8594/2.6875) | Целевой поток (Mean: 0.001154, Std: 0.628223, Min/Max: -4.1250/3.9062)
[СЕССИЯ] Шаг: 80 | Эпоха: 2 | Loss: 0.683203 | Время t: 0.5521 | Предсказания (Mean: 0.005409, Std: 0.513867, Min/Max: -2.9062/2.5625) | Целевой поток (Mean: 0.000493, Std: 0.587012, Min/Max: -4.1875/4.8438)
[СЕССИЯ] Шаг: 90 | Эпоха: 3 | Loss: 0.587695 | Время t: 0.4945 | Предсказания (Mean: -0.012865, Std: 0.519727, Min/Max: -2.5781/2.6094) | Целевой поток (Mean: 0.000149, Std: 0.526563, Min/Max: -4.0000/4.8438)
[СЕССИЯ] Шаг: 100 | Эпоха: 3 | Loss: 0.751074 | Время t: 0.6091 | Предсказания (Mean: -0.000225, Std: 0.545312, Min/Max: -2.6406/2.8906) | Целевой поток (Mean: 0.001119, Std: 0.647852, Min/Max: -4.4062/4.0000)
[СЕССИЯ] Шаг: 110 | Эпоха: 3 | Loss: 0.639844 | Время t: 0.5563 | Предсказания (Mean: 0.006519, Std: 0.546484, Min/Max: -2.5312/2.5469) | Целевой поток (Mean: 0.000059, Std: 0.591992, Min/Max: -3.7344/3.7031)
